id,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
1911,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:05:00,0.293343,0.291008,0.29385,0.290029,4917657.177094,N
1912,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:04:00,0.293817,0.293177,0.29393,0.293032,1340422.233171,N
1913,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:04:00,0.294116,0.293806,0.294193,0.293334,2780.0,Y
1914,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:03:00,0.29519,0.293583,0.295291,0.293347,2717230.169872,N
1915,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:03:00,0.29547,0.294116,0.295471,0.293643,2191.0,Y
1916,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:02:00,0.294972,0.295547,0.29591,0.294527,2437.0,Y
1917,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:02:00,0.294617,0.295284,0.295577,0.294247,3368536.955946,N
1918,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:01:00,0.292534,0.294927,0.294927,0.292045,4183.0,Y
1919,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:01:00,0.292331,0.294578,0.294578,0.291612,3160157.268527,N
1920,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:00:00,0.293907,0.292289,0.293998,0.292182,2110535.486474,N
1921,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:00:00,0.294,0.292469,0.294072,0.292268,2924.0,Y
1922,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:59:00,0.295706,0.294,0.295846,0.293769,2382237.034746,N
1923,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:59:00,0.295864,0.29389,0.295942,0.293818,1883.0,Y
1924,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:58:00,0.295939,0.2958,0.2964,0.295754,405.0,Y
1925,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:58:00,0.295746,0.29577,0.296262,0.295579,903875.101149,N
1926,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:57:00,0.295925,0.295891,0.296241,0.295679,731.0,Y
